date,year,month,deaths
01-2010,2010,1,2384
02-2010,2010,2,2218
03-2010,2010,3,2470
04-2010,2010,4,2290
05-2010,2010,5,2440
06-2010,2010,6,2405
07-2010,2010,7,2468
08-2010,2010,8,2564
09-2010,2010,9,2280
10-2010,2010,10,2468
11-2010,2010,11,2518
12-2010,2010,12,2776
01-2011,2011,1,2714
02-2011,2011,2,2353
03-2011,2011,3,2755
04-2011,2011,4,2439
05-2011,2011,5,2472
06-2011,2011,6,2446
07-2011,2011,7,2451
08-2011,2011,8,2443
09-2011,2011,9,2364
10-2011,2011,10,2484
11-2011,2011,11,2347
12-2011,2011,12,2632
01-2012,2012,1,2604
02-2012,2012,2,2442
03-2012,2012,3,2567
04-2012,2012,4,2480
05-2012,2012,5,2370
06-2012,2012,6,2560
07-2012,2012,7,2434
08-2012,2012,8,2467
09-2012,2012,9,2451
10-2012,2012,10,2425
11-2012,2012,11,2456
12-2012,2012,12,2579
01-2013,2013,1,2558
02-2013,2013,2,2361
03-2013,2013,3,2693
04-2013,2013,4,2301
05-2013,2013,5,2381
06-2013,2013,6,2309
07-2013,2013,7,2462
08-2013,2013,8,2483
09-2013,2013,9,2457
10-2013,2013,10,2379
11-2013,2013,11,2254
12-2013,2013,12,2503
01-2014,2014,1,2464
02-2014,2014,2,2191
03-2014,2014,3,2467
04-2014,2014,4,2373
05-2014,2014,5,2446
06-2014,2014,6,2371
07-2014,2014,7,2396
08-2014,2014,8,2521
09-2014,2014,9,2480
10-2014,2014,10,2866
11-2014,2014,11,2619
12-2014,2014,12,2858
01-2015,2015,1,2711
02-2015,2015,2,2379
03-2015,2015,3,2395
04-2015,2015,4,2246
05-2015,2015,5,2322
06-2015,2015,6,2118
07-2015,2015,7,2361
08-2015,2015,8,2250
09-2015,2015,9,2235
10-2015,2015,10,2376
11-2015,2015,11,2245
12-2015,2015,12,2486
01-2016,2016,1,2712
02-2016,2016,2,2562
03-2016,2016,3,2426
04-2016,2016,4,2225
05-2016,2016,5,2283
06-2016,2016,6,2322
07-2016,2016,7,2442
08-2016,2016,8,2405
09-2016,2016,9,2347
10-2016,2016,10,2341
11-2016,2016,11,2458
12-2016,2016,12,2817
01-2017,2017,1,2894
02-2017,2017,2,2315
03-2017,2017,3,2494
04-2017,2017,4,2392
05-2017,2017,5,2390
06-2017,2017,6,2369
07-2017,2017,7,2367
08-2017,2017,8,2321
09-2017,2017,9,2928
10-2017,2017,10,3040
11-2017,2017,11,2671
12-2017,2017,12,2820
